edge_id,way_id,name,lat,lon,start_node,end_node
-162931638#9,162931638,Ngõ 49 Phố Trần Cung,21.0466966,105.7883462,11545705284,cluster_11545491632_11546008903
-207306756#0,207306756,Ngõ 260 Đường Cầu Giấy,21.0363081,105.795887,2175018119,10302042092
-207306756#1,207306756,Ngõ 260 Đường Cầu Giấy,21.0360377,105.7960663,2175018114,2175018119
-207306756#2,207306756,Ngõ 260 Đường Cầu Giấy,21.0358238,105.7961239,2185260724,2175018114
-207306756#3,207306756,Ngõ 260 Đường Cầu Giấy,21.0356145,105.7961668,10302042106,2185260724
-207306756#4,207306756,Ngõ 260 Đường Cầu Giấy,21.035424,105.7961834,2185260756,10302042106
-207306756#5,207306756,Ngõ 260 Đường Cầu Giấy,21.0353306,105.7961823,cluster_2185260729_5710653477,2185260756
-207306756#7,207306756,Ngõ 260 Đường Cầu Giấy,21.0349663,105.7961309,2185260702,cluster_2185260729_5710653477
-207306756#8,207306756,Ngõ 260 Đường Cầu Giấy,21.0345955,105.7960348,cluster_10261948324_1498129066,2185260702
-221158908#1,221158908,Đường Nguyễn Phong Sắc,21.0419415,105.7903013,10269855935,cluster_10236726395_10280203882_317129293
-221158908#2,221158908,Đường Nguyễn Phong Sắc,21.0421742,105.7902837,5703749386,10269855935
-221158908#3,221158908,Đường Nguyễn Phong Sắc,21.0423655,105.7902819,10171181451,5703749386
-221158908#4,221158908,Đường Nguyễn Phong Sắc,21.0425516,105.7902795,11575894306,10171181451
-221158908#5,221158908,Đường Nguyễn Phong Sắc,21.0426352,105.7902773,8827491995,11575894306
-221158908#6,221158908,Đường Nguyễn Phong Sắc,21.0428313,105.7902717,10222627139,8827491995
-221158908#7,221158908,Đường Nguyễn Phong Sắc,21.0431568,105.7902614,10312567127,10222627139
-221158908#8,221158908,Đường Nguyễn Phong Sắc,21.0433899,105.7902521,317129335,10312567127
-29111636#2,29111636,Ngõ 387 - Hoàng Quốc Việt,21.0431344,105.7926734,320220793,5485835836
-295514386#0,295514386,Phố Duy Tân,21.0303714,105.7871844,cluster_10225965948_10542375156,1691398111
-295514386#1,295514386,Phố Duy Tân,21.0304327,105.7867716,12337414887,cluster_10225965948_10542375156
-295514386#10,295514386,Phố Duy Tân,21.030699,105.7849942,6624890279,cluster_10225965945_1750743114
-295514386#11,295514386,Phố Duy Tân,21.0307298,105.7848134,cluster_10225965919_6624890281,6624890279
-295514386#12,295514386,Phố Duy Tân,21.0308037,105.7843561,6624890282,cluster_10225965919_6624890281
-295514386#13,295514386,Phố Duy Tân,21.0308576,105.78402,cluster_10225965944_1691398123,6624890282
-295514386#2,295514386,Phố Duy Tân,21.0304526,105.7866375,cluster_10225965947_12337414888,12337414887
-295514386#3,295514386,Phố Duy Tân,21.030478,105.7864663,10225965972,cluster_10225965947_12337414888
-295514386#4,295514386,Phố Duy Tân,21.0304982,105.7863363,cluster_12337414886_12337414889_1707941858_6624890274_#1more,10225965972
